date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:38:25	93/93	---MCZ	200	added ('OK')	text/plain	date:Mon,%2007%20Aug%202023%2009:18:02%20GMT	https://7oroof.com/robots.txt		(from )
21:38:26	173192/173192	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202024%2020:38:26%20GMT	https://7oroof.com/tfdemos/trevox/shop/	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/shop/index.html	(from )
21:38:27	2894/2894	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Apr%202024%2003:32:16%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.3	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/plugins/contact-form-7/includes/css/styles7404.css	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:35	19201/19201	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22d6fd072181a2dc9402ad7584a43ea31c%22	https://7oroof.com/tfdemos/trevox/shop/feed/	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/shop/feed/index.html	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:35	38997/38997	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2010:07:24%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.css?ver=4.7.0	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome1849.css	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:35	1750/1750	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2010:07:38%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/slick/slick.css?ver=6.5.4	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/slick/slick380f.css	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:36	4631/4631	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2010:07:38%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/perfect-scrollbar/css/perfect-scrollbar.min.css?ver=6.5.4	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/perfect-scrollbar/css/perfect-scrollbar.min380f.css	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:36	4000/4000	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2010:07:38%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/perfect-scrollbar/css/custom-theme.css?ver=6.5.4	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/perfect-scrollbar/css/custom-theme380f.css	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:37	7426/7426	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2010:07:38%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/magnific-popup/magnific-popup.css?ver=6.5.4	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/magnific-popup/magnific-popup380f.css	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:37	342/342	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2010:07:38%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/feather/feather.css?ver=6.5.4	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-quick-view/assets/libs/feather/feather380f.css	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:38	3089/3089	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2010:07:39%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-wishlist/assets/css/icons.css?ver=4.8.5	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/plugins/woo-smart-wishlist/assets/css/icons341d.css	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:38	15571/15571	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Apr%202024%2003:32:16%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/wpc-badge-management-premium/assets/css/hint.css?ver=6.5.4	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/plugins/wpc-badge-management-premium/assets/css/hint380f.css	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:38	8852/8852	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Apr%202024%2003:32:16%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/wpc-badge-management-premium/assets/css/style.css?ver=2.4.2	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/plugins/wpc-badge-management-premium/assets/css/stylea305.css	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:39	6151/6151	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Apr%202024%2003:32:15%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/wpc-countdown-timer/assets/libs/flipper/style.css?ver=3.0.6	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/plugins/wpc-countdown-timer/assets/libs/flipper/style7c45.css	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:39	43680/43680	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Apr%202024%2003:32:15%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/wpc-countdown-timer/assets/css/frontend.css?ver=3.0.6	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/plugins/wpc-countdown-timer/assets/css/frontend7c45.css	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:39	12068/12068	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Apr%202024%2003:32:17%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/wpc-product-size-chart/assets/css/frontend.css?ver=2.1.1	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/plugins/wpc-product-size-chart/assets/css/frontende1fc.css	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:40	4201/4201	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Apr%202024%2003:32:15%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/plugins/wpc-variation-swatches/assets/css/frontend.css?ver=4.0.3	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/plugins/wpc-variation-swatches/assets/css/frontendfa0c.css	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:41	196503/196503	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2010:09:32%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/uploads/elementor/css/custom-frontend.css?ver=1713521372	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/uploads/elementor/css/custom-frontendd52d.css	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:52	324284/324284	---MCZ	200	added ('OK')	text/css	date:Sat,%2020%20Apr%202024%2003:04:41%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/themes/trevox/assets/css/theme.css?ver=1.0.1	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/themes/trevox/assets/css/themef269.css	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:52	5109/5109	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2010:16:18%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/themes/trevox/assets/fonts/font-cmsi/style.css?ver=1.0.1	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/themes/trevox/assets/fonts/font-cmsi/stylef269.css	(from https://7oroof.com/tfdemos/trevox/shop/)
21:38:53	3633/3633	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Apr%202024%2010:16:18%20GMT	https://7oroof.com/tfdemos/trevox/wp-content/themes/trevox/assets/fonts/font-theme/style.css?ver=1.0.1	C:/My%20Web%20Sites/shop/7oroof.com/tfdemos/trevox/wp-content/themes/trevox/assets/fonts/font-theme/stylef269.css	(from https://7oroof.com/tfdemos/trevox/shop/)
